Champions,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range
 Aatrox,580,+90,3,+1,0,+0,0,+0,60,+5,0.651,+2.5%,38,+3.25,32,+1.25,345,175
 Ahri,500,+82,2.5,+0.6,418,+25,8,+0.8,53,+3,0.668,+2%,18,+3.5,30,+0.5,330,550
 Akali,500,+105,9,+0.9,200,+0,50,+0,62,+3.3,0.625,+3.2%,23,+3.5,37,+1.25,345,125
 Akshan,560,+90,3.75,+0.65,350,+40,8.175,+0.7,52,+3.5,0.638,+4%,26,+3,30,+0.5,330,500
 Alistar,600,+106,8.5,+0.85,350,+40,8.5,+0.8,62,+3.75,0.625,+2.125%,44,+3.5,32,+1.25,330,125
 Amumu,615,+75,9,+0.85,285,+40,7.38,+0.53,53,+3.8,0.736,+2.18%,30,+3,32,+1.25,335,125
 Anivia,480,+82,5.5,+0.55,495,+45,8,+0.8,51,+3.2,0.625,+1.68%,21,+4,30,+0.5,325,600
 Annie,524,+88,5.5,+0.55,418,+25,8,+0.8,50,+2.63,0.579,+1.36%,19,+4,30,+0.5,335,625
 Aphelios,530,+88,3.25,+0.55,348,+42,6.5,+0.4,55,+3,0.64,+2.1%,28,+3,30,+0.5,325,550
 Ashe,570,+87,3.5,+0.55,280,+32,6.97,+0.4,59,+2.96,0.658,+3.33%,26,+3.4,30,+0.5,325,600
 Aurelion Sol,575,+92,7,+0.6,350,+50,6,+0.8,57,+3.2,0.625,+1.36%,19,+3.6,30,+0.5,325,550
 Azir,552,+92,7,+0.75,480,+21,8,+0.8,52,+2.8,0.625,+3%,19,+3,30,+0.5,335,525
 Bard,560,+89,5.5,+0.55,350,+50,6,+0.45,52,+3,0.625,+2%,34,+4,30,+0.5,330,500
 Blitzcrank,583,+95,8.5,+0.75,267,+40,8.5,+0.8,62,+3.5,0.625,+1.13%,40,+3.5,32,+1.25,325,125
 Brand,520,+88,5.5,+0.55,469,+21,10.67,+0.6,57,+3,0.625,+1.36%,22,+3.5,30,+0.5,340,550
 Braum,540,+98,8.5,+1,311,+45,6,+0.8,55,+3.2,0.644,+3.5%,47,+4,32,+1.25,335,125
 Caitlyn,510,+93,3.5,+0.55,315,+35,7.4,+0.55,62,+3.4,0.681,+4%,28,+3.5,30,+0.5,325,650
 Camille,576,+85,8.5,+0.8,339,+52,8.15,+0.75,68,+3.5,0.644,+2.5%,35,+3.8,32.1,+1.25,340,125
 Cassiopeia,560,+90,5.5,+0.5,350,+60,8,+0.8,53,+3,0.647,+1.5%,18,+3.5,32,+0.5,328,550
 Cho'Gath,574,+80,9,+0.85,270,+60,7.2,+0.45,69,+4.2,0.625,+1.44%,38,+3.5,32,+1.25,345,125
 Corki,518,+87,5.5,+0.55,350,+54,7.42,+0.55,55,+2.5,0.638,+2.3%,28,+3.5,30,+0.5,325,550
 Darius,582,+100,10,+0.95,263,+57.5,6.6,+0.35,64,+5,0.625,+1%,39,+4,32,+1.25,340,175
 Diana,570,+95,6.5,+0.85,375,+25,8,+0.8,57,+3,0.625,+2.25%,31,+3.1,32,+1.25,345,150
 Dr. Mundo,583,+89,6.5,+0.75,0,+0,0,+0,61,+4.2,0.72,+3.3%,32,+3,32,+1.25,345,125
 Draven,605,+90,3.75,+0.7,360.56,+39,8.04,+0.65,60,+3.61,0.679,+2.7%,29,+3.3,30,+0.5,330,550
 Ekko,585,+85,9,+0.9,280,+70,7,+0.8,58,+3,0.688,+3.3%,32,+3,32,+1.25,340,125
 Elise,555,+93,5.5,+0.6,324,+50,6,+0.8,55,+3,0.625,+1.75%,27,+4,30,+0.5,330,550
 Evelynn,572,+84,8.5,+0.75,315,+42,8.11,+0.6,61,+3,0.667,+2.1%,37,+3.5,32.1,+1.25,335,125
 Ezreal,530,+88,4,+0.65,375,+70,8.5,+0.65,60,+2.5,0.625,+2.5%,24,+3.5,30,+0.5,325,550
 Fiddlesticks,580.4,+92,5.5,+0.6,500,+28,8,+0.8,55.36,+2.63,0.625,+2.11%,34,+3.5,30,+0.5,335,480
 Fiora,550,+85,8.5,+0.55,300,+60,8,+0.7,68,+3.3,0.69,+3.2%,33,+3.5,32,+1.25,345,150
 Fizz,570,+98,8,+0.7,317,+37,6,+0.8,58,+3,0.658,+3.1%,22,+3.4,32,+1.25,335,175
 Galio,562,+112,8,+0.8,500,+40,9.5,+0.7,59,+3.5,0.625,+1.5%,24,+3.5,32,+1.25,335,150
 Gangplank,570,+90,6,+0.6,280,+60,7.5,+0.7,64,+4,0.658,+3.2%,35,+3,32,+1.25,345,125
 Garen,620,+84,8,+0.5,0,+0,0,+0,66,+4.5,0.625,+3.65%,36,+3,32,+0.75,340,175
 Gnar,510,+65,4.5,+1.75,100,+0,0,+0,57,+3,0.625,+6%,32,+2.5,30,+0.5,335,400
 Gragas,600,+95,5.5,+0.5,400,+47,6,+0.8,64,+3.5,0.675,+2.05%,38,+3.6,32,+1.25,330,125
 Graves,555,+92,8,+0.7,325,+40,8,+0.7,68,+4,0.475,+2.6%,33,+3.4,32,+1.25,340,425
 Gwen,590,+95,8.5,+0.55,330,+40,7.5,+0.7,63,+3,0.69,+2.25%,39,+4,32,+1.25,340,150
 Hecarim,580,+90,7,+0.75,277,+60,6.5,+0.6,66,+3.2,0.67,+2.5%,35,+4.25,32,+1.25,345,175
 Heimerdinger,488,+87,7,+0.55,385,+20,8,+0.8,56,+2.7,0.625,+1.36%,19,+3,30,+0.5,340,550
 Illaoi,586,+95,9.5,+0.8,300,+50,7.5,+0.75,68,+5,0.571,+2.5%,35,+3.8,32,+1.25,350,125
 Irelia,520,+110,8.5,+0.85,350,+50,8,+0.8,65,+4,0.656,+2.5%,36,+3,28,+1.25,335,200
 Ivern,585,+85,7,+0.85,450,+60,6,+0.75,50,+3,0.644,+3.4%,27,+3.5,32,+1.25,330,475
 Janna,500,+70,5.5,+0.55,350,+64,11.5,+0.4,52,+3,0.625,+3%,28,+3.8,30,+0.5,325,500
 Jarvan IV,570,+90,8,+0.7,300,+40,6.5,+0.45,64,+3.4,0.658,+2.5%,34,+3.6,32,+1.25,340,175
 Jax,593,+85,8.5,+0.55,339,+52,7.58,+0.7,68,+4.25,0.638,+3.4%,36,+3,32,+1.25,350,125
 Jayce,560,+90,6,+0.6,375,+45,6,+0.8,54,+4.25,0.658,+3%,27,+3.5,30,+0.5,335,125
 Jhin,585,+93,3.75,+0.55,300,+50,6,+0.8,59,+4.7,0.625,+3%,24,+3.5,30,+0.5,330,550
 Jinx,610,+86,3.75,+0.5,245,+45,6.7,+1,57,+3.4,0.625,+1%,26,+3.5,30,+0.5,325,525
 Kai'Sa,600,+88,3.5,+0.55,344.88,+38,8.2,+0.45,59,+2,0.644,+1.8%,28,+3,30,+0.5,335,525
 Kalista,534,+100,3.75,+0.55,250,+45,6.3,+0.4,69,+3.5,0.694,+4%,21,+4,30,+0.5,325,525
 Karma,534,+95,5.5,+0.55,374,+50,13,+0.5,51,+3.3,0.625,+2.3%,28,+3.8,30,+0.5,335,525
 Karthus,550,+87,6.5,+0.55,467,+30.5,8,+0.8,46,+3.25,0.625,+2.11%,18,+3.5,30,+0.5,335,450
 Kassadin,576,+105,6,+0.5,400,+87,6,+0.8,59,+3.9,0.64,+3.7%,19,+2.8,30,+0.5,335,150
 Katarina,602,+94,7.5,+0.7,0,+0,0,+0,58,+3.2,0.658,+2.74%,28,+3.5,32,+1.25,335,125
 Kayle,600,+85,5,+0.5,330,+50,8,+0.8,50,+2.5,0.625,+1.5%,26,+3,26,+0.5,335,175
 Kayn,585,+85,8,+0.75,410,+50,11.5,+0.95,68,+3.3,0.669,+2.7%,38,+3.3,32,+1.25,340,175
 Kennen,541,+84,5.5,+0.65,200,+0,50,+0,48,+3.75,0.625,+3.4%,29,+3.75,30,+0.5,335,550
 Kha'Zix,573,+85,7.5,+0.75,327,+40,7.59,+0.5,63,+3.1,0.668,+2.7%,36,+3,32,+1.25,350,125
 Kindred,540,+85,7,+0.55,300,+35,7,+0.4,65,+2.5,0.625,+3.5%,29,+3.5,30,+0.5,325,500
 Kled,340,+70,6,+0.75,100,+0,0,+0,65,+3.5,0.625,+3.5%,35,+4,28,+1.25,285,250
 Kled & Skaarl,740,+130,6,+0.75,100,+0,0,+0,65,+3.5,0.625,+3.5%,35,+4,28,+1.25,345,125
 Kog'Maw,565,+85,3.75,+0.55,325,+40,8.75,+0.7,61,+3.11,0.665,+2.65%,24,+3.25,30,+0.5,330,500
 LeBlanc,528,+97,7.5,+0.55,334,+50,6,+0.8,55,+3.5,0.625,+1.4%,22,+3.5,30,+0.5,340,525
 Lee Sin,575,+85,7.5,+0.7,200,+0,50,+0,68,+3.7,0.651,+3%,36,+3.7,32,+1.25,345,125
